Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,Car Condition
MarutiSwiftDzireVDIBS,447072,88835,2014,First Owner,Diesel,MANUAL,Expired,4.3
RenaultKwidRXT,347899,33732,2016,First Owner,Petrol,MANUAL,16-06-2021,4.6
MarutiWagonR1.0,350799,53279,2015,First Owner,Petrol,MANUAL,24-03-2021,4.2
HondaAmaze1.5SMTI,436299,70147,2013,Second Owner,Diesel,MANUAL,Expired,4.1
HondaCitySMT,241199,86866,2009,Second Owner,Petrol,MANUAL,12-03-2021,4
HyundaiVernaFLUIDIC1.6SXCRDI,415299,129017,2011,First Owner,Diesel,MANUAL,Expired,4.2
HondaCityVMT,300999,127472,2010,First Owner,Petrol + CNG,MANUAL,29-09-2021,4.3
HyundaiElitei20SPORTZ(O),617799,62516,2014,First Owner,Diesel,MANUAL,26-11-2020,4.2
MarutiSwiftDzireVXI1.2BS,365999,117248,2014,First Owner,Petrol,MANUAL,19-04-2021,4.2
Hyundaii10MAGNA1.2,330799,26474,2009,First Owner,Petrol,AUTOMATIC,01-07-2021,4.1
MarutiAlto,160099,44374,2010,Third Owner,Petrol,MANUAL,22-11-2021,4.7
HyundaiCreta1.6CRDISXPLUS,1035199,58298,2017,Second Owner,Diesel,AUTOMATIC,05-10-2021,4.6
MarutiAlto800,269099,58283,2018,First Owner,Petrol,MANUAL,09-08-2021,4.6
MarutiAlto,372799,13069,2019,First Owner,Petrol,MANUAL,05-08-2021,4.8
MarutiWagonR1.0,333999,39541,2013,Second Owner,Petrol,MANUAL,07-08-2021,4.2
HyundaiSantroXingGL,286899,96552,2014,First Owner,Petrol + CNG,MANUAL,18-03-2021,4.2
HondaCitySMT,420399,46870,2012,Third Owner,Petrol,MANUAL,07-03-2021,4.1
MarutiCelerio,388899,42704,2016,First Owner,Petrol,MANUAL,16-03-2021,4.9
Hyundaii20Active1.2,559592,53425,2015,First Owner,Petrol,MANUAL,07-01-2022,4.5
VolkswagenPoloCOMFORTLINE1.2L,604106,27276,2017,First Owner,Petrol,MANUAL,11-10-2020,4.6
MarutiZenEstilo,151899,45920,2007,First Owner,Petrol,MANUAL,21-12-2021,4
TataIndicaVistaAURA1.3,195299,150758,2009,First Owner,Diesel,MANUAL,28-05-2021,4.4
RenaultKwid,269639,36873,2016,First Owner,Petrol,MANUAL,Insurance Expired,4.6
MarutiAlto,111699,91528,2009,First Owner,Petrol + LPG,MANUAL,28-03-2021,3.8
MarutiSwiftLXI,351099,36610,2015,First Owner,Petrol + CNG,MANUAL,17-09-2021,4.5
MarutiSwift,281999,133175,2011,First Owner,Diesel,MANUAL,Expired,4.2
VolkswagenPoloCOMFORTLINE1.2L,317999,69745,2013,First Owner,Petrol,MANUAL,29-07-2021,4.4
MarutiAlto,156325,58267,2008,First Owner,Petrol,MANUAL,07-10-2021,4.3
FordFigo1.2ZXI,200628,35658,2014,Third Owner,Petrol,MANUAL,Insurance Expired,4.3
RenaultKwidCLIMBER1.0,414599,8969,2018,First Owner,Petrol,KA05,Expired,4.8
MarutiEeco5STRCNGWITH,317799,46837,2018,First Owner,Petrol + CNG,MANUAL,17-05-2021,4.9
MarutiWagonRStingray,361499,9296,2014,First Owner,Petrol,MANUAL,28-11-2020,4.5
MarutiWagonR1.0,233499,117905,2011,First Owner,Petrol,MANUAL,29-03-2021,4.1
MarutiSwift,228599,190778,2009,Second Owner,Diesel,MANUAL,Expired,3.9
Hyundaii10SPORTZ1.1,324699,30532,2015,First Owner,Petrol,MANUAL,21-09-2021,4.4
FordEcosport1.5TREND,388180,62253,2013,First Owner,Diesel,MANUAL,12-07-2021,4.2
MarutiSwiftDzireVXI1.2BS,312799,40055,2012,First Owner,Petrol,MANUAL,27-08-2021,4.3
MarutiSwiftDzire,330099,90474,2013,First Owner,Diesel,MANUAL,29-06-2021,4.1
MarutiAlto,124299,39460,2010,First Owner,Petrol,MANUAL,25-07-2021,4
MarutiAltoK10,229499,25563,2013,First Owner,Petrol,MANUAL,28-03-2021,4.5
HyundaiElitei20SPORTZ,554899,68730,2017,Second Owner,Diesel,MANUAL,21-07-2021,4.4
HondaJazz1.2SV,482299,22898,2015,First Owner,Petrol,MANUAL,30-07-2021,4.5
MarutiBalenoDELTADDIS,524699,43702,2016,First Owner,Diesel,MANUAL,Zero_Dep,4.7
SkodaRapidELEGANCE1.6MPFI,483499,65919,2014,Third Owner,Petrol,AUTOMATIC,22-03-2021,4.1
MarutiErtigaVDI,413099,91724,2012,Second Owner,Diesel,MANUAL,15-01-2021,4.4
MarutiRitz,327999,54431,2009,First Owner,Petrol,MANUAL,31-07-2021,4.5
HyundaiEonMAGNA,194999,110501,2013,First Owner,Petrol,MANUAL,Expired,4.2
Hyundaii20SPORTZ1.2,333499,44142,2011,Third Owner,Petrol,MANUAL,28-05-2021,4.2
MarutiSwift,546799,24093,2014,First Owner,Petrol,MANUAL,17-10-2021,4.5
HyundaiGrandi10ASTAAT1.2KAPPA,451799,30537,2015,Second Owner,Petrol,MANUAL,03-07-2021,4.5
HyundaiVerna1.6SXVTVTAT,1224699,1827,2018,First Owner,Petrol,AUTOMATIC,21-04-2021,4.9
MarutiSwift,313699,102024,2012,First Owner,Diesel,MANUAL,18-12-2020,4.3
HondaCitySMT,297867,39947,2010,First Owner,Petrol,MANUAL,13-07-2021,4.5
RenaultDuster85PS,551899,59607,2015,First Owner,Diesel,MANUAL,Expired,4.3
MarutiAlto,150299,57358,2009,First Owner,Petrol,MANUAL,24-04-2021,4.5
HondaCivic1.8V,201208,61886,2007,Second Owner,Petrol,MANUAL,24-06-2021,4.3
Hyundaii20SPORTZ1.2,279899,107384,2012,First Owner,Petrol,MANUAL,08-12-2020,4
MarutiRitz,143099,86813,2009,Third Owner,Petrol,MANUAL,02-09-2021,4
MarutiSwift,450358,29624,2012,First Owner,Petrol,MANUAL,14-03-2021,4.3
MarutiSwift,318199,80935,2012,First Owner,Diesel,MANUAL,27-08-2021,4.3
VolkswagenPoloCOMFORTLINE1.2L,443699,60295,2016,Second Owner,Petrol,MANUAL,24-11-2021,4.3
HyundaiGrandi10SPORTZ1.2KAPPA,421699,77031,2016,First Owner,Petrol,MANUAL,09-02-2021,4.4
MarutiCiazVDI,470599,78595,2015,First Owner,Diesel,MANUAL,08-02-2021,4.5
HyundaiEon,271999,65435,2012,First Owner,Petrol,MANUAL,04-01-2022,4.3
MarutiErtigaVXISMART,874599,8816,2019,First Owner,Petrol,GJ18,Zero_Dep,4.8
Hyundaii20SPORTZ1.2,322799,56736,2012,First Owner,Petrol,MANUAL,27-06-2021,4.3
MarutiEeco5STRCNGWITHAC,293399,44254,2017,First Owner,Petrol + CNG,MANUAL,Expired,4.5
HyundaiCreta1.4EPLUS,1070040,48507,2019,First Owner,Diesel,HR51,Expired,4.7
MarutiAlto,189999,55899,2007,Third Owner,Petrol,MANUAL,08-10-2021,3.9
Hyundaii20SPORTZO1.4,301399,87995,2012,Third Owner,Diesel,MANUAL,28-05-2021,4.4
Hyundaii10MAGNA1.2,226599,48246,2011,First Owner,Petrol,MANUAL,26-07-2021,4.2
MarutiErtigaVDI,492724,51981,2013,First Owner,Diesel,MANUAL,24-04-2021,4.3
MarutiCiazZETA1.4,657499,47051,2018,First Owner,Petrol,MANUAL,05-07-2021,4.5
HondaBrio1.2SMTI,264999,108048,2012,First Owner,Petrol,MANUAL,08-03-2021,4.4
HyundaiSantroXing,298899,33828,2013,Second Owner,Petrol,MANUAL,29-12-2020,4.2
MarutiSwiftDzireVXI1.2BS,312699,148847,2013,First Owner,Petrol,MANUAL,07-01-2022,4.3
Hyundaii20ASTA1.4,377799,69521,2013,First Owner,Diesel,MANUAL,21-06-2021,4.5
MarutiCelerio,451499,4370,2019,First Owner,Petrol,MANUAL,19-03-2021,4.9
MarutiSwiftVXI,748585,10138,2019,First Owner,Petrol,AUTOMATIC,12-03-2021,4.9
MahindraXUV500W8,707999,84226,2014,First Owner,Diesel,MANUAL,30-10-2021,4.3
HondaAmaze1.5SMTI,374500,89309,2014,First Owner,Diesel,MANUAL,05-05-2021,4
MarutiWagonR1.0,289499,68719,2013,First Owner,Petrol,MANUAL,03-07-2021,4.3
MarutiBalenoALPHADDIS,687299,61489,2017,First Owner,Diesel,MANUAL,09-08-2021,4.5
MarutiSwiftDzireVDI,655099,34078,2016,First Owner,Diesel,KA50,Zero_Dep,4.6
Hyundaii10SPORTZ1.2,434399,20524,2013,First Owner,Petrol,MANUAL,Expired,4.5
RenaultKwidRXL1.0EASY-R,351399,29546,2017,Second Owner,Petrol,KA01,Comp,4.5
MahindraScorpio,806599,50968,2015,First Owner,Diesel,MANUAL,Expired,4.5
MarutiSwiftDzireVDIBS,520399,75129,2014,First Owner,Diesel,MANUAL,15-07-2021,4.4
MarutiSwiftDzireVXI1.2BS,336999,50834,2012,Second Owner,Petrol,MANUAL,23-05-2021,4.1
Hyundaii20MAGNAO,197799,85191,2010,First Owner,Petrol,MANUAL,11-05-2021,4.1
MarutiRitz,313599,105576,2011,First Owner,Diesel,MANUAL,21-11-2021,4
HondaAmaze1.5VXMTI,393899,99296,2013,First Owner,Diesel,MANUAL,27-05-2021,4.1
HondaJazz1.2V,579399,10430,2016,Second Owner,Petrol,AUTOMATIC,18-07-2021,4
MarutiEeco5STRWITHAC,356852,28319,2017,Second Owner,Petrol + CNG,MANUAL,20-06-2021,4.6
HondaJazz1.2BASEI,275399,83659,2011,First Owner,Petrol,MANUAL,01-07-2021,4.3
MarutiSwift,353099,78289,2013,First Owner,Petrol + CNG,MANUAL,01-01-2021,4.4
HondaAmaze1.5VXMTI,333399,197997,2013,First Owner,Diesel,MANUAL,16-06-2021,3.9
HyundaiGrandi101.2ASTA(O),540762,11636,2016,First Owner,Petrol,AUTOMATIC,Expired,4.6
MarutiAltoK10,267599,18946,2016,First Owner,Petrol,MANUAL,14-11-2021,4.7
HondaBrio1.2SMTI,235458,70498,2013,First Owner,Petrol,MANUAL,08-06-2021,4.3
MarutiAlto800,309199,19130,2017,First Owner,Petrol,MANUAL,11-01-2022,4.8
HondaBrio1.2VMTI,307559,58581,2012,First Owner,Petrol,MANUAL,07-11-2021,4
MarutiSwiftVDIGlory,540399,35499,2015,First Owner,Diesel,HR29,Third_party,4.8
HondaCitySMT,210834,194040,2008,Second Owner,Petrol + CNG,MANUAL,25-11-2021,3.9
MahindraScorpio,921499,24847,2014,First Owner,Diesel,MANUAL,10-01-2022,4.8
MarutiSwift,437699,46070,2014,First Owner,Petrol,MANUAL,Expired,4.2
MarutiWagonR1.0LXI,329299,32768,2014,First Owner,Petrol + CNG,MANUAL,27-01-2021,4.6
MarutiAlto800,272974,30871,2015,First Owner,Petrol,MANUAL,01-04-2021,4.6
MarutiBalenoDELTA1.2,548199,26568,2016,Second Owner,Petrol,MANUAL,23-06-2021,4.7
HondaAmaze1.2VXMTI,343899,68821,2013,First Owner,Petrol,MANUAL,05-11-2021,4.2
ToyotaInnova2.5GX8STRBS,751199,80584,2014,First Owner,Diesel,MANUAL,02-01-2021,4.4
Hyundaii20SPORTZ1.2,229599,39306,2010,First Owner,Petrol,MANUAL,13-10-2021,4.1
MarutiSwift,229399,123493,2009,Second Owner,Diesel,MANUAL,27-01-2021,3.7
MarutiCelerioVXI,409099,55037,2015,First Owner,Petrol,AUTOMATIC,11-05-2021,4.5
MarutiWagonR1.0,244506,60385,2010,First Owner,Petrol,MANUAL,02-11-2021,4.2
HyundaiVernaFLUIDIC1.6SXCRDI,420499,74271,2013,First Owner,Diesel,MANUAL,Expired,4.4
MarutiVitaraBrezza,789304,32575,2019,First Owner,Diesel,MANUAL,28-02-2021,4.8
VolkswagenVentoHIGHLINE,252299,62752,2010,First Owner,Petrol,MANUAL,19-09-2021,4.1
Hyundaii20SPORTZ1.2,252499,131343,2011,First Owner,Petrol,MANUAL,21-10-2021,4.3
DatsunRediGoT,300899,4730,2017,First Owner,Petrol,MANUAL,19-08-2021,4.9
MarutiSwiftVDI,409199,62806,2015,First Owner,Diesel,MANUAL,02-07-2021,4.2
MarutiIGNISZETA1.2K12,526099,19084,2017,Second Owner,Petrol,AUTOMATIC,04-09-2021,4.6
MarutiZenEstilo,116199,64268,2008,Second Owner,Petrol,MANUAL,Expired,3.9
MarutiAltoK10,313199,24612,2015,Second Owner,Petrol,MANUAL,Expired,4.5
TataTiagoXZ1.2,402647,24990,2016,First Owner,Petrol,MANUAL,Expired,4.5
Hyundaii10MAGNA,209499,98364,2009,Second Owner,Petrol,MANUAL,25-08-2021,3.9
HondaCitySVMT,518499,93529,2014,Second Owner,Petrol,MANUAL,Comp,4.2
HondaCityVXCVT,649499,50552,2014,First Owner,Petrol,AUTOMATIC,08-01-2021,4.8
MarutiAltoK10,173699,32089,2011,Second Owner,Petrol,MANUAL,03-11-2021,4.4
HondaBrio1.2V,253499,32830,2012,Third Owner,Petrol,AUTOMATIC,23-01-2022,4.3
HondaBrio1.2VXMTI,423299,56335,2016,First Owner,Petrol,MANUAL,13-10-2021,4.3
MarutiSwift,306720,66445,2012,First Owner,Diesel,MANUAL,27-12-2021,4.2
MarutiCelerio,269399,25807,2014,First Owner,Petrol,MANUAL,03-11-2021,4
BMW3Series,891599,67267,2012,First Owner,Diesel,AUTOMATIC,Comp,4.4
MarutiSwiftDzireVXI1.2BS,364499,34414,2012,First Owner,Petrol,MANUAL,Expired,4.1
MarutiWagonR,294599,60443,2010,First Owner,Petrol,MANUAL,08-09-2021,4.4
Hyundaii10MAGNA1.1,274799,44670,2015,Third Owner,Petrol,MANUAL,Expired,4.4
MarutiSwiftDzireVDIBS,406899,72388,2014,First Owner,Diesel,MANUAL,08-02-2021,4.3
HyundaiNEWSANTROASTA1.1,517199,6203,2019,First Owner,Petrol,KA05,Zero_Dep,4.9
VolkswagenPoloCOMFORTLINE1.2L,380699,101779,2016,First Owner,Petrol,MANUAL,05-12-2020,4.3
MarutiEeco5STRWITHAC,410399,28457,2018,First Owner,Petrol,MANUAL,26-02-2021,4.6
MarutiWagonR1.0,289399,68927,2014,First Owner,Petrol,MANUAL,29-06-2021,4.3
MarutiSwiftDzireVDIBS,461599,38235,2012,First Owner,Diesel,MANUAL,27-09-2021,4.6
MarutiWagonR1.0,228099,93590,2010,First Owner,Petrol,MANUAL,20-12-2021,4
HondaAmaze1.5SMTI,296199,87405,2013,First Owner,Diesel,MANUAL,Expired,4.2
FordEcosport1.5AMBIENTE,409599,104023,2014,First Owner,Diesel,MANUAL,24-03-2021,4.4
MarutiEeco5STRWITHAC,378499,24962,2017,Second Owner,Petrol,MANUAL,06-02-2021,4.7
HyundaiGrandi10ASTA1.1(O),487799,33243,2016,Second Owner,Diesel,MANUAL,29-05-2021,4.5
MarutiWagonR1.0LXI,312289,78330,2014,Second Owner,Petrol + CNG,MANUAL,18-11-2021,4.5
HondaAmaze1.5VXMTI,318899,63748,2013,Third Owner,Diesel,MANUAL,04-11-2021,4.2
Hyundaii10MAGNA1.2,346999,44802,2013,Second Owner,Petrol,MANUAL,17-03-2021,4.3
MarutiSwiftDzireVXI1.2BS,330220,82666,2012,First Owner,Petrol,MANUAL,28-03-2021,4.2
MarutiSwiftDzireVDIBS,287999,74785,2012,Second Owner,Diesel,MANUAL,19-04-2021,4.1
MarutiWagonR1.0,349899,30401,2015,First Owner,Petrol,MANUAL,13-07-2021,4.3
MarutiSwiftVXI,464510,27412,2016,Second Owner,Petrol,MANUAL,28-10-2021,4.4
MarutiSwiftDzireLXI1.2BS,295362,41541,2012,First Owner,Petrol,MANUAL,15-02-2022,4.5
MarutiWagonR1.0,197438,64370,2011,Third Owner,Petrol + CNG,MANUAL,Expired,4.3
MarutiVitaraBrezzaLDI,583999,57304,2016,Second Owner,Diesel,MANUAL,24-09-2021,4.6
MarutiAlto,228499,6943,2011,Second Owner,Petrol,MANUAL,10-04-2021,4.2
MarutiRitz,203068,48907,2009,First Owner,Petrol,MANUAL,22-08-2021,4.4
VolkswagenPoloHIGHLINE1.2L,327099,77103,2012,Second Owner,Diesel,MANUAL,29-04-2021,4.1
ToyotaEtiosLivaD4D,282199,87827,2012,First Owner,Diesel,MANUAL,15-04-2021,4.3
MarutiSwiftDzireVXI1.2BS,297199,52719,2012,Second Owner,Petrol,MANUAL,24-01-2021,4.5
MarutiWagonR1.0LXI,358999,51564,2015,First Owner,Petrol + CNG,MANUAL,14-04-2021,4.3
HondaCitySMT,305199,98697,2011,First Owner,Petrol,MANUAL,05-05-2021,4.2
VolkswagenVentoHIGHLINE,264999,48128,2011,First Owner,Petrol,MANUAL,27-02-2021,4.1
HyundaiEonERA,315999,30522,2018,First Owner,Petrol,MANUAL,09-03-2021,4.5
MarutiCelerioX,432199,31973,2018,First Owner,Petrol,MANUAL,21-09-2021,4.5
RenaultKwid,316199,13865,2016,First Owner,Petrol,MANUAL,10-07-2021,4.5
MarutiCelerioZXI,435299,34587,2015,Second Owner,Petrol,AUTOMATIC,13-06-2021,4.6
MarutiSwift,366899,103671,2014,First Owner,Diesel,MANUAL,18-10-2021,4
HyundaiXcentS,421608,29978,2015,First Owner,Petrol,MANUAL,02-07-2021,4.2
MarutiAltoK10,246499,95412,2015,First Owner,Petrol,MANUAL,21-07-2021,4.1
MarutiAlto800,269199,23280,2018,First Owner,Petrol,MANUAL,13-03-2021,4.7
HyundaiCreta1.6SXPLUS,1043299,56830,2016,Second Owner,Petrol,HR26,Comp,4.8
MarutiBalenoDELTA1.2,524199,20092,2016,First Owner,Petrol,MANUAL,20-01-2021,4.8
Hyundaii20SPORTZ1.2,481199,61801,2012,First Owner,Petrol,MANUAL,28-05-2021,4.4
MarutiSwift,528799,29075,2017,First Owner,Petrol,MANUAL,15-01-2022,4.7
MarutiErtigaVDI,931499,6993,2018,First Owner,Diesel,MANUAL,06-11-2021,4.6
MarutiCelerioVXI,333347,51639,2016,First Owner,Petrol,AUTOMATIC,27-10-2021,4.5
HyundaiElitei20ASTA,672599,11962,2018,First Owner,Petrol,MANUAL,20-11-2021,4.8
HyundaiSantroXingGL,258199,33437,2014,First Owner,Petrol,MANUAL,11-01-2021,4.4
SkodaRapid1.6TDIMT,353299,55140,2013,First Owner,Diesel,MANUAL,31-12-2020,4.5
FordEcosport1.0ECOBOOST,423799,35525,2014,Second Owner,Petrol,MANUAL,Expired,4.1
MarutiAltoK10,227299,61587,2012,First Owner,Petrol,MANUAL,17-07-2021,4.4
Hyundaii10MAGNA1.2,242599,56697,2010,Second Owner,Petrol,MANUAL,01-02-2021,4.4
VolkswagenVentoHIGHLINETDI,616999,88336,2016,First Owner,Diesel,AUTOMATIC,Expired,4.3
RenaultKwidRXT1.0EASY-RAT,443999,17990,2018,First Owner,Petrol,AUTOMATIC,18-12-2021,4.7
HyundaiEonERA,248499,50772,2015,First Owner,Petrol,MANUAL,01-12-2021,4.6
HondaBrio1.2VXMTI,317199,27624,2015,Second Owner,Petrol,MANUAL,29-06-2021,4.1
MarutiSwift,311399,142099,2012,First Owner,Diesel,MANUAL,23-10-2021,4.4
ToyotaFortuner3.0AT,1054799,172356,2012,Third Owner,Diesel,AUTOMATIC,28-09-2021,4.3
MarutiSwift,294046,81523,2011,Second Owner,Petrol,MANUAL,26-09-2021,4.3
MarutiSwiftDzireVXI1.2BS,364499,45247,2012,First Owner,Petrol,MANUAL,01-05-2021,4.2
HyundaiEonERA,251899,40111,2015,Third Owner,Petrol,MANUAL,11-01-2021,4.3
MarutiRitzZXI,518471,18966,2015,First Owner,Petrol,MANUAL,09-01-2022,4.6
MarutiSwift,286199,137850,2013,First Owner,Diesel,MANUAL,11-09-2020,4.4
MarutiBalenoDELTA1.2,499799,45880,2016,First Owner,Petrol,MANUAL,02-08-2021,4.6
MarutiCelerioVXI,444144,109531,2018,First Owner,Petrol + CNG,MANUAL,31-07-2021,4.4
MarutiSwiftVXI,592875,35078,2017,First Owner,Petrol,MANUAL,19-10-2021,4.4
HyundaiElitei20ASTA,745699,2594,2018,First Owner,Petrol,MANUAL,11-03-2021,4.9
HyundaiSantroXing,209499,43520,2008,Second Owner,Petrol,MANUAL,06-01-2021,4
MarutiEeco5STRCNGWITHAC,335193,52886,2018,First Owner,Petrol + CNG,MANUAL,25-03-2021,4.6
HyundaiCreta1.4EPLUS,819099,55210,2017,First Owner,Diesel,DL10,Zero_Dep,4.6
MarutiSwiftDzireVDI,634699,34247,2017,First Owner,Diesel,MH04,Comp,4.5
HondaAccord2.4ATI,291099,163326,2009,Second Owner,Petrol,AUTOMATIC,Expired,3.6
Hyundaii10ERA1.1,227899,21614,2013,Second Owner,Petrol,MANUAL,14-04-2021,3.9
MarutiAltoK10VXI(O),426899,6111,2018,First Owner,Petrol,KA05,Zero_Dep,4.9
HondaCityV,979661,119791,2018,First Owner,Petrol,UP14,Zero Depreciation,4.6
RenaultDuster85PSRXL,413600,63803,2014,First Owner,Diesel,MANUAL,12-03-2021,4.3
MarutiDzire,612699,4595,2017,First Owner,Petrol,MANUAL,08-12-2021,4.9
MarutiRitz,160399,116148,2010,Second Owner,Petrol,MANUAL,23-02-2021,3.8
HondaBrio1.2SMTI,304899,58058,2014,First Owner,Petrol,MANUAL,21-03-2021,4.3
RenaultDusterRXZDIESEL,588899,141346,2013,First Owner,Diesel,MANUAL,09-12-2020,3.9
HondaAmaze1.5SMTI,276799,74085,2013,First Owner,Diesel,MANUAL,19-06-2021,4.3
MarutiVitaraBrezza,743899,21239,2018,First Owner,Diesel,MANUAL,30-08-2021,4.8
HyundaiEonMAGNA,217999,42346,2014,First Owner,Petrol,MANUAL,28-04-2021,4.2
MarutiWagonR1.0LXI,180899,56849,2012,Third Owner,Petrol + CNG,MANUAL,Expired,3.7
MarutiDzire,546599,25826,2018,First Owner,Petrol,MANUAL,23-08-2021,4.6
Hyundaii20SPORTZ1.2,312099,80781,2011,Third Owner,Petrol,MANUAL,07-05-2021,4
Hyundaii20MAGNAO1.4,447399,51472,2013,First Owner,Diesel,MANUAL,04-08-2021,4.1
HondaBrio1.2VXATI,474899,21479,2017,First Owner,Petrol,AUTOMATIC,20-03-2021,4.6
RenaultDuster85PS,320799,132735,2013,First Owner,Diesel,MANUAL,20-09-2021,4.2
MarutiEeco5STRWITHAC,364299,23627,2017,First Owner,Petrol + CNG,MANUAL,Expired,4.4
MarutiErtigaVXI,802599,34489,2018,First Owner,Petrol + CNG,MANUAL,08-08-2021,4.4
HyundaiGrandi10ASTA1.2KAPPA,487199,12833,2015,First Owner,Petrol,MANUAL,23-02-2021,4.6
DatsunRediGo,245999,21683,2016,First Owner,Petrol,MANUAL,02-08-2021,4
MarutiAltoK10,335899,51984,2014,First Owner,Petrol,MANUAL,18-01-2021,4.1
RenaultKwidRXT,250028,22568,2015,Third Owner,Petrol,MANUAL,Expired,4.8
FordFigo1.4EXI,120299,161157,2011,Second Owner,Diesel,MANUAL,01-08-2021,4.2
MarutiAlto,204399,57357,2009,First Owner,Petrol,MANUAL,30-09-2021,4.5
MarutiSwiftDzireVXI1.2BS,481299,77871,2015,First Owner,Petrol,MANUAL,25-03-2021,4.3
HyundaiVernaFLUIDIC1.6SX,522899,57702,2014,Second Owner,Diesel,MANUAL,17-06-2021,4.3
HyundaiElitei20ASTA,642899,19113,2017,First Owner,Petrol,MANUAL,29-01-2022,4.4
MarutiAlto800,257899,47365,2013,First Owner,Petrol,MANUAL,17-09-2021,4.3
MarutiAlto,131999,23251,2007,First Owner,Petrol,MANUAL,19-10-2021,4.6
VolkswagenVentoHIGHLINE1.2TSI,468299,80175,2015,First Owner,Petrol,MH02,Comp,3.9
MarutiSwift,434299,14864,2015,First Owner,Petrol,MANUAL,09-05-2021,4.4
ChevroletCruzeLTZ,258999,141119,2011,First Owner,Diesel,AUTOMATIC,28-03-2021,4.2
ToyotaCorollaAltisD4D,423399,87557,2013,First Owner,Diesel,MANUAL,Expired,4.8
MarutiIGNISDELTA1.2,494999,31925,2017,First Owner,Petrol,MANUAL,17-03-2021,4.5
HyundaiGrandi10Sportz(O)1.2,520199,54496,2017,First Owner,Petrol + CNG,DL4C,Zero_Dep,4.6
HondaCitySMT,292999,143859,2011,Second Owner,Petrol,MANUAL,20-12-2020,4.1
FordEcosport1.5TITANIUM,576757,100187,2015,Second Owner,Diesel,MANUAL,05-02-2022,4.7
MahindraXUV500W8,655899,57221,2013,First Owner,Diesel,MANUAL,29-01-2021,4.2
MarutiSwiftVDI,442399,91280,2015,First Owner,Diesel,MANUAL,10-07-2021,4.4
MarutiSwiftLXI,210151,52022,2008,Second Owner,Petrol,MANUAL,12-02-2021,4.1
MarutiRitz,308399,77317,2009,First Owner,Petrol,MANUAL,22-12-2021,3.9
MarutiSwift,427499,106521,2014,First Owner,Diesel,MANUAL,30-09-2021,4.2
MarutiSwift,490499,74026,2016,First Owner,Diesel,MANUAL,Expired,4.3
HyundaiXcentSX,564599,13652,2017,First Owner,Petrol,MANUAL,14-09-2021,4.7
MarutiCelerioVXI,327344,54845,2016,Second Owner,Petrol + CNG,MANUAL,17-10-2021,4.2
MarutiCelerioVXI,323699,35303,2015,Second Owner,Petrol,AUTOMATIC,03-02-2021,4.4
MarutiVitaraBrezzaVDI,575799,62646,2016,First Owner,Diesel,MANUAL,14-07-2021,4.5
MarutiSwift,524199,35215,2015,Second Owner,Petrol,MANUAL,12-11-2021,4.4
HyundaiGrandi10MAGNA1.2,390699,53151,2015,First Owner,Petrol,MANUAL,23-02-2021,4.3
ChevroletSparkLS,110599,36991,2012,Second Owner,Petrol,MANUAL,04-11-2021,3.9
MarutiAlto,186099,85362,2009,First Owner,Petrol,MANUAL,23-09-2021,4
ToyotaInnova2.5VX7STRBS,971199,101927,2014,First Owner,Diesel,MANUAL,17-06-2021,4.6
ToyotaEtios,305999,197898,2012,First Owner,Diesel,MANUAL,27-02-2021,4.9
MarutiSwiftDzireVDIBS,394685,46077,2012,First Owner,Diesel,MANUAL,09-12-2021,4.4
HondaCitySMT,261699,84937,2009,First Owner,Petrol,MANUAL,09-03-2021,4.2
MarutiNewWagon-R1.0Lxi(o),522399,7409,2019,First Owner,Petrol + CNG,MH03,Zero_Dep,4.9
Hyundaii10SPORTZ1.2,240199,64614,2012,First Owner,Petrol,MANUAL,06-09-2021,3.8
HyundaiEonERA,219399,15775,2014,Second Owner,Petrol,MANUAL,25-10-2021,4.4
MarutiAltoK10,189899,38019,2012,First Owner,Petrol,MANUAL,Expired,4.5
MarutiRitzVXIBS,252399,75842,2013,Second Owner,Petrol,MANUAL,23-01-2021,4
Hyundaii10SPORTZ,277499,102521,2009,Second Owner,Petrol,MANUAL,25-08-2021,4
MarutiBalenoZETA1.2,578999,27073,2017,First Owner,Petrol,MANUAL,01-05-2021,4.9
VolkswagenPoloHIGHLINE1.2L,374599,56433,2014,Second Owner,Petrol,MANUAL,19-09-2021,4.3
HyundaiEonERA,343740,40681,2016,First Owner,Petrol,MANUAL,04-07-2021,4.1
MarutiAlto800,336899,18278,2017,First Owner,Petrol,MANUAL,02-11-2021,5
MarutiAlto,251699,71021,2010,Second Owner,Petrol,MANUAL,28-02-2021,4.2
MarutiSwiftDzireVDIBS,358199,87800,2012,First Owner,Diesel,MANUAL,18-02-2021,4.4
MarutiWagonR1.0,209699,35373,2010,First Owner,Petrol,MANUAL,19-05-2021,3.5
VolkswagenVentoHIGHLINE,274899,82631,2010,First Owner,Petrol,MANUAL,19-01-2021,4.3
HondaBrio1.2VXATI,386799,93321,2015,First Owner,Petrol,AUTOMATIC,09-07-2021,4.4
MarutiSwiftDzireVXI,420399,56556,2014,First Owner,Petrol,AUTOMATIC,Third_party,4
MarutiCelerio,307599,61066,2014,Second Owner,Petrol,MANUAL,15-01-2021,4.4
FordFigo1.2ZXI,177099,77145,2010,Second Owner,Petrol,MANUAL,31-03-2021,4.5
